goos: linux
goarch: amd64
pkg: go.uber.org/yarpc/transport/internal/connpool
cpu: AMD EPYC 7B13
BenchmarkMaybeScaleDownTriggered/conns=8-48                        	 1895109	       322.2 ns/op	     448 B/op	       2 allocs/op
BenchmarkMaybeScaleDownTriggered/conns=16-48                       	 1519936	       393.4 ns/op	     512 B/op	       2 allocs/op
BenchmarkMaybeScaleDownTriggered/conns=32-48                       	 1000000	       534.3 ns/op	     640 B/op	       2 allocs/op
BenchmarkCleanupIdleConnsEmpty-48                                  	10167784	        62.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkCleanupIdleConnsAllActive/conns=1-48                      	 9962102	        60.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkCleanupIdleConnsAllActive/conns=2-48                      	 9155390	        62.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkCleanupIdleConnsAllActive/conns=4-48                      	 8519260	        71.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkCleanupIdleConnsAllActive/conns=8-48                      	 6772442	        82.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkCleanupIdleConnsAllActive/conns=16-48                     	 4650568	       108.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkCleanupIdleConnsAllActive/conns=32-48                     	 3677028	       168.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkCleanupIdleConnsDraining/conns=1-48                       	 4496736	       133.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkCleanupIdleConnsDraining/conns=2-48                       	 2989717	       202.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkCleanupIdleConnsDraining/conns=4-48                       	 1819768	       336.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkCleanupIdleConnsDraining/conns=8-48                       	  927181	       668.1 ns/op	      64 B/op	       1 allocs/op
BenchmarkCleanupIdleConnsDraining/conns=16-48                      	  476469	      1302 ns/op	     192 B/op	       2 allocs/op
BenchmarkCleanupIdleConnsDraining/conns=32-48                      	  244274	      2635 ns/op	     448 B/op	       3 allocs/op
BenchmarkCleanupIdleConnsMixed/total=1-48                          	 9081682	        68.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkCleanupIdleConnsMixed/total=2-48                          	 7893007	        75.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkCleanupIdleConnsMixed/total=4-48                          	 4221997	       140.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkCleanupIdleConnsMixed/total=8-48                          	 2713808	       218.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkCleanupIdleConnsMixed/total=16-48                         	 1617782	       372.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkCleanupIdleConnsMixed/total=32-48                         	  794739	       756.8 ns/op	      64 B/op	       1 allocs/op
BenchmarkReactivateIdleConnNoIdle/conns=1-48                       	100000000	         5.008 ns/op	       0 B/op	       0 allocs/op
BenchmarkReactivateIdleConnNoIdle/conns=2-48                       	100000000	         5.585 ns/op	       0 B/op	       0 allocs/op
BenchmarkReactivateIdleConnNoIdle/conns=4-48                       	75796430	         7.188 ns/op	       0 B/op	       0 allocs/op
BenchmarkReactivateIdleConnNoIdle/conns=8-48                       	51033648	        11.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkReactivateIdleConnNoIdle/conns=16-48                      	30465790	        19.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkReactivateIdleConnNoIdle/conns=32-48                      	19689234	        30.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkReactivateIdleConnSuccess/conns=1-48                      	75810604	         7.648 ns/op	       0 B/op	       0 allocs/op
BenchmarkReactivateIdleConnSuccess/conns=2-48                      	75982645	         7.675 ns/op	       0 B/op	       0 allocs/op
BenchmarkReactivateIdleConnSuccess/conns=4-48                      	77458942	         7.527 ns/op	       0 B/op	       0 allocs/op
BenchmarkReactivateIdleConnSuccess/conns=8-48                      	78266551	         7.644 ns/op	       0 B/op	       0 allocs/op
BenchmarkReactivateIdleConnSuccess/conns=16-48                     	77649889	         7.510 ns/op	       0 B/op	       0 allocs/op
BenchmarkReactivateIdleConnSuccess/conns=32-48                     	77097435	         7.648 ns/op	       0 B/op	       0 allocs/op
BenchmarkReactivateIdleConnLastPosition/conns=1-48                 	61422860	         8.919 ns/op	       0 B/op	       0 allocs/op
BenchmarkReactivateIdleConnLastPosition/conns=2-48                 	67703508	         8.918 ns/op	       0 B/op	       0 allocs/op
BenchmarkReactivateIdleConnLastPosition/conns=4-48                 	65938630	         9.077 ns/op	       0 B/op	       0 allocs/op
BenchmarkReactivateIdleConnLastPosition/conns=8-48                 	56458684	        10.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkReactivateIdleConnLastPosition/conns=16-48                	46867932	        12.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkReactivateIdleConnLastPosition/conns=32-48                	30084553	        18.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluateScaling/conns=1-48                                	 9343254	        65.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluateScaling/conns=2-48                                	 8967166	        67.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluateScaling/conns=4-48                                	 7696900	        79.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluateScaling/conns=8-48                                	 4185730	       149.6 ns/op	      64 B/op	       1 allocs/op
BenchmarkEvaluateScaling/conns=16-48                               	 2643333	       208.4 ns/op	     128 B/op	       1 allocs/op
BenchmarkEvaluateScaling/conns=32-48                               	 1766845	       337.0 ns/op	     256 B/op	       1 allocs/op
BenchmarkEvaluateScalingWithDraining/conns=1-48                    	 3354327	       181.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluateScalingWithDraining/conns=2-48                    	 2273334	       276.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluateScalingWithDraining/conns=4-48                    	 1686763	       425.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluateScalingWithDraining/conns=8-48                    	  742609	       796.1 ns/op	      64 B/op	       1 allocs/op
BenchmarkEvaluateScalingWithDraining/conns=16-48                   	  429553	      1349 ns/op	     192 B/op	       2 allocs/op
BenchmarkEvaluateScalingWithDraining/conns=32-48                   	  267384	      2331 ns/op	     448 B/op	       3 allocs/op
BenchmarkRefreshMetrics/conns=1-48                                 	100000000	         5.378 ns/op	       0 B/op	       0 allocs/op
BenchmarkRefreshMetrics/conns=2-48                                 	96031036	         5.685 ns/op	       0 B/op	       0 allocs/op
BenchmarkRefreshMetrics/conns=4-48                                 	90633482	         6.571 ns/op	       0 B/op	       0 allocs/op
BenchmarkRefreshMetrics/conns=8-48                                 	69751544	         8.326 ns/op	       0 B/op	       0 allocs/op
BenchmarkRefreshMetrics/conns=16-48                                	49292608	        11.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkRefreshMetrics/conns=32-48                                	28440790	        19.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkSetIdleNow-48                                             	 9561394	        61.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkIdleSince-48                                              	949930899	         0.7095 ns/op	       0 B/op	       0 allocs/op
BenchmarkRunScalingMonitorOverhead-48                              	  207580	      2702 ns/op	    1628 B/op	      16 allocs/op
BenchmarkThresholdComputation-48                                   	1000000000	         0.3161 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	go.uber.org/yarpc/transport/internal/connpool	766.342s
DONE rc=0
